"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"escooccupation","67068ead85654550e38523ce","67068ead85654550e3851de3","escooccupation","2024-10-09T14:09:53.886Z","2024-10-09T14:09:53.886Z"
"escooccupation","67068ead85654550e3851e60","67068ead85654550e3851de4","escooccupation","2024-10-09T14:09:53.886Z","2024-10-09T14:09:53.886Z"
"escooccupation","67068ead85654550e385206b","67068ead85654550e3851de5","escooccupation","2024-10-09T14:09:53.886Z","2024-10-09T14:09:53.886Z"
"occupationgroup","67068e9c85654550e384dff1","67068ead85654550e3851de6","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"escooccupation","67068ead85654550e38520fb","67068ead85654550e3851de7","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"occupationgroup","67068e9c85654550e384df35","67068ead85654550e3851de8","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"escooccupation","67068ead85654550e3851e3c","67068ead85654550e3851de9","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"escooccupation","67068ead85654550e3851f2d","67068ead85654550e3851dea","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"escooccupation","67068eac85654550e3851aab","67068ead85654550e3851deb","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"escooccupation","67068ead85654550e3851e60","67068ead85654550e3851dec","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"occupationgroup","67068e9c85654550e384e001","67068ead85654550e3851ded","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"escooccupation","67068ead85654550e3852528","67068ead85654550e3851dee","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"escooccupation","67068eac85654550e3851a3c","67068ead85654550e3851def","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"occupationgroup","67068e9c85654550e384df68","67068ead85654550e3851df0","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"escooccupation","67068ead85654550e3851f34","67068ead85654550e3851df1","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"escooccupation","67068ead85654550e3851ef9","67068ead85654550e3851df2","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"escooccupation","67068ead85654550e385206b","67068ead85654550e3851df3","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"escooccupation","67068ead85654550e38523dd","67068ead85654550e3851df4","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"occupationgroup","67068e9c85654550e384df6c","67068ead85654550e3851df5","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"escooccupation","67068eac85654550e3851cbc","67068ead85654550e3851df6","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"occupationgroup","67068e9c85654550e384e14b","67068ead85654550e3851df7","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"escooccupation","67068ead85654550e38520fb","67068ead85654550e3851df8","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
