"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","67068e9e85654550e384e2ee","67068ea585654550e38509b3","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skillgroup","67068e9e85654550e384e256","67068ea585654550e38509b4","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skillgroup","67068e9e85654550e384e35a","67068ea585654550e38509b5","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skillgroup","67068e9e85654550e384e31e","67068ea585654550e38509b6","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skillgroup","67068e9e85654550e384e30d","67068ea585654550e38509b7","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skill","67068ea085654550e384f10c","67068ea585654550e38509b7","skill","2024-10-09T14:10:06.993Z","2024-10-09T14:10:06.993Z"
"skill","67068ea085654550e384e70a","67068ea585654550e38509b7","skill","2024-10-09T14:10:06.993Z","2024-10-09T14:10:06.993Z"
"skillgroup","67068e9e85654550e384e2ec","67068ea585654550e38509b8","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skillgroup","67068e9e85654550e384e3c8","67068ea585654550e38509b9","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skillgroup","67068e9e85654550e384e1fd","67068ea585654550e38509ba","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skillgroup","67068e9e85654550e384e384","67068ea585654550e38509bb","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skill","67068ea985654550e3851148","67068ea585654550e38509bb","skill","2024-10-09T14:10:06.993Z","2024-10-09T14:10:06.993Z"
"skillgroup","67068e9e85654550e384e344","67068ea585654550e38509bc","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skillgroup","67068e9e85654550e384e38a","67068ea585654550e38509bd","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skillgroup","67068e9e85654550e384e356","67068ea585654550e38509be","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skillgroup","67068e9e85654550e384e2ee","67068ea585654550e38509bf","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skillgroup","67068e9e85654550e384e212","67068ea585654550e38509c0","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skillgroup","67068e9e85654550e384e368","67068ea585654550e38509c1","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skillgroup","67068e9e85654550e384e210","67068ea585654550e38509c2","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
"skillgroup","67068e9e85654550e384e285","67068ea585654550e38509c3","skill","2024-10-09T14:10:03.610Z","2024-10-09T14:10:03.610Z"
